# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = W11_RL_asymmetric_model
# start_datetime = 2024-03-12 18:53:38 UTC
# method = sample (Default)
#   sample
#     num_samples = 2000
#     num_warmup = 2000
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.99
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 20
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/98/18p7fygn5473lcp5yfrz9s340000gn/T/RtmpLoYUAL/standata-151eb53196480.json
# init = 2 (Default)
# random
#   seed = 123
# output
#   file = /Users/emmaolsen/Library/Mobile Documents/com~apple~CloudDocs/cognitive_science/00_MS_cogsci/2_adv_cognitive_ modelling/ACMP2_EMMA/simmodels/W11_RL_asymmetric-202403121953-1-0970db.csv
#   diagnostic_file =  (Default)
#   refresh = 1000
#   sig_figs = -1 (Default)
#   profile_file = /Users/emmaolsen/Library/Mobile Documents/com~apple~CloudDocs/cognitive_science/00_MS_cogsci/2_adv_cognitive_ modelling/ACMP2_EMMA/simmodels/W11_RL_asymmetric-profile-202403121953-1-575717.csv
#   save_cmdstan_config = 0 (Default)
# num_threads = 2 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --O1 --warn-pedantic --name=W11_RL_asymmetric_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha_pos,alpha_neg,temperature
# Adaptation terminated
# Step size = 0.118741
# Diagonal elements of inverse mass matrix:
# 1.90551, 0.662042, 1.74442
-17.3322,0.999487,0.118741,6,63,0,19.925,0.887889,0.951768,11.5619
-17.5169,0.999715,0.118741,4,15,0,17.6298,0.883841,0.954142,11.0685
-15.4261,0.99674,0.118741,5,31,0,18.5794,0.667459,0.695145,3.69108
-16.5217,0.991655,0.118741,5,31,0,16.9231,0.843866,0.940711,15.0725
-17.5472,0.994497,0.118741,4,15,0,17.9293,0.784299,0.858801,16.1811
-16.0826,1,0.118741,3,15,0,18.0514,0.838547,0.875908,13.2631
-15.1542,0.999386,0.118741,5,31,0,16.3357,0.637773,0.793169,6.75716
-15.2795,0.999811,0.118741,4,15,0,15.3588,0.550247,0.815251,6.31787
-15.9398,0.989041,0.118741,5,31,0,17.0716,0.896876,0.845147,10.0906
-15.6753,0.999989,0.118741,4,31,0,17.336,0.782805,0.902351,13.0027
-15.1965,0.99972,0.118741,4,31,0,15.8543,0.747779,0.859821,8.00596
-16.0191,0.992138,0.118741,3,15,0,18.4294,0.382703,0.858016,9.75856
-16.519,0.998941,0.118741,5,31,0,17.8953,0.539452,0.93367,16.2462
-17.8313,0.993567,0.118741,3,15,0,19.665,0.354058,0.945419,17.9023
-16.8964,0.999914,0.118741,5,31,0,18.219,0.666586,0.945145,17.5394
-17.6936,0.993314,0.118741,5,63,0,20.6035,0.255631,0.9018,6.15407
-15.8098,0.99329,0.118741,4,15,0,19.2648,0.786801,0.822763,10.2207
-15.2363,0.999654,0.118741,3,7,0,15.9695,0.738551,0.866629,9.33551
-15.0909,0.979197,0.118741,4,15,0,17.5534,0.756253,0.787953,6.19555
-15.1197,0.999283,0.118741,4,15,0,15.2568,0.6957,0.74163,4.77739
-15.2055,0.998371,0.118741,3,15,0,15.6881,0.699834,0.70185,4.6273
-16.1834,0.980826,0.118741,3,7,0,16.9283,0.660774,0.664233,2.90978
-16.0702,1,0.118741,5,31,0,16.7667,0.914096,0.868008,6.4916
-18.1898,0.999303,0.118741,5,31,0,18.9227,0.964808,0.941034,17.5715
-19.1654,0.992338,0.118741,4,31,0,21.4766,0.241763,0.96207,18.329
-19.1281,1,0.118741,3,7,0,19.1877,0.249352,0.962189,18.3296
-20.1186,0.998853,0.118741,3,7,0,20.4206,0.181334,0.969944,18.5187
-18.8332,0.999262,0.118741,5,31,0,21.8112,0.712452,0.93935,19.7204
-20.136,0.997231,0.118741,4,15,0,20.3579,0.344135,0.943707,19.8082
-20.6506,0.995224,0.118741,5,31,0,21.7987,0.366187,0.975336,19.5226
-22.6243,0.995845,0.118741,4,15,0,24.3673,0.0655363,0.96585,19.233
-20.9964,1,0.118741,3,7,0,22.7752,0.0964904,0.960814,18.9415
-18.4832,0.999694,0.118741,5,31,0,22.8795,0.225153,0.959351,11.7235
-16.9758,0.997535,0.118741,5,31,0,19.5873,0.968204,0.855184,5.67501
-16.6083,0.991715,0.118741,4,15,0,18.9239,0.93515,0.9204,10.9597
-16.6132,0.999959,0.118741,5,31,0,17.4658,0.420045,0.918041,15.5246
-15.2045,0.999437,0.118741,5,31,0,17.306,0.766626,0.788197,6.99035
-15.1449,0.997111,0.118741,4,31,0,15.6047,0.651818,0.83985,7.25377
-17.1958,0.990715,0.118741,4,15,0,17.4671,0.199517,0.851058,9.42816
-16.9851,0.992796,0.118741,5,31,0,18.9816,0.943778,0.707155,6.96297
-16.4844,0.993345,0.118741,3,15,0,18.1118,0.961246,0.748915,4.22461
-15.366,0.998336,0.118741,4,31,0,18.3277,0.701644,0.890425,10.5834
-16.1738,0.989597,0.118741,3,15,0,16.3708,0.636112,0.834804,11.9826
-15.6368,0.988984,0.118741,4,15,0,17.9139,0.59705,0.786488,8.29974
-17.5095,0.977186,0.118741,3,7,0,17.8386,0.578661,0.832307,2.91574
-15.708,0.999396,0.118741,4,15,0,18.2468,0.460452,0.843873,6.15
-16.2865,0.998294,0.118741,4,31,0,17.2338,0.39995,0.676646,4.7459
-16.6849,0.997092,0.118741,5,31,0,17.051,0.959692,0.889162,11.1636
-17.386,0.988301,0.118741,4,15,0,17.971,0.933196,0.83509,12.6902
-17.5296,0.999466,0.118741,5,31,0,18.282,0.932633,0.835702,3.28242
-16.1806,0.996236,0.118741,4,31,0,18.4463,0.9012,0.851675,11.1661
