# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = W11_RL_asymmetric_model
# start_datetime = 2024-03-12 18:53:38 UTC
# method = sample (Default)
#   sample
#     num_samples = 2000
#     num_warmup = 2000
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.99
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 20
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /var/folders/98/18p7fygn5473lcp5yfrz9s340000gn/T/RtmpLoYUAL/standata-151eb53196480.json
# init = 2 (Default)
# random
#   seed = 123
# output
#   file = /Users/emmaolsen/Library/Mobile Documents/com~apple~CloudDocs/cognitive_science/00_MS_cogsci/2_adv_cognitive_ modelling/ACMP2_EMMA/simmodels/W11_RL_asymmetric-202403121953-2-0970db.csv
#   diagnostic_file =  (Default)
#   refresh = 1000
#   sig_figs = -1 (Default)
#   profile_file = /Users/emmaolsen/Library/Mobile Documents/com~apple~CloudDocs/cognitive_science/00_MS_cogsci/2_adv_cognitive_ modelling/ACMP2_EMMA/simmodels/W11_RL_asymmetric-profile-202403121953-2-575717.csv
#   save_cmdstan_config = 0 (Default)
# num_threads = 2 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --O1 --warn-pedantic --name=W11_RL_asymmetric_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha_pos,alpha_neg,temperature
# Adaptation terminated
# Step size = 0.122783
# Diagonal elements of inverse mass matrix:
# 1.79805, 0.667519, 1.76153
-16.7804,0.99191,0.122783,5,63,0,19.4718,0.947642,0.918715,10.5566
-17.3758,0.997187,0.122783,5,31,0,17.9334,0.926865,0.948056,12.3094
-16.4578,0.99652,0.122783,4,23,0,18.0899,0.835205,0.858728,13.468
-18.3855,0.989513,0.122783,4,23,0,19.3889,0.966648,0.942579,8.68334
-18.9995,0.995224,0.122783,5,31,0,20.3148,0.976029,0.688134,2.36483
-17.3145,0.961745,0.122783,2,3,0,20.3803,0.972117,0.673752,3.09755
-19.0318,0.869347,0.122783,2,3,0,20.111,0.970311,0.669561,2.28685
-16.8309,1,0.122783,2,3,0,18.9641,0.972099,0.669579,4.06315
-18.3628,0.972215,0.122783,3,7,0,18.5913,0.970854,0.628695,2.48419
-19.1505,0.840516,0.122783,3,7,0,22.1995,0.981202,0.651875,7.26773
-16.3384,0.995005,0.122783,3,15,0,21.1137,0.92341,0.839519,4.7994
-16.1619,1,0.122783,4,15,0,16.5311,0.919444,0.828349,9.51786
-16.4572,0.998524,0.122783,5,31,0,17.0635,0.522929,0.680986,3.03126
-18.6917,0.978849,0.122783,5,31,0,20.9798,0.970235,0.405119,3.2862
-16.9686,0.995614,0.122783,5,31,0,20.1578,0.739318,0.939018,18.066
-16.4947,0.981588,0.122783,5,31,0,20.3511,0.838205,0.594218,2.76535
-15.6066,0.997982,0.122783,3,7,0,16.6327,0.810163,0.621464,4.06426
-15.674,0.994512,0.122783,6,63,0,16.4432,0.628506,0.897176,13.1263
-18.0496,0.985368,0.122783,4,23,0,18.2383,0.876804,0.966223,14.7707
-17.7142,0.99759,0.122783,4,15,0,19.8311,0.963835,0.928218,16.5285
-17.1369,0.999999,0.122783,5,31,0,18.4258,0.972949,0.896138,8.5775
-16.5344,0.997718,0.122783,5,31,0,17.7361,0.935776,0.805102,9.18048
-17.0063,0.998379,0.122783,4,31,0,17.9538,0.867885,0.942904,9.9316
-17.0809,0.999394,0.122783,4,31,0,17.508,0.611073,0.876983,16.5598
-17.6273,0.995861,0.122783,4,15,0,20.0876,0.973109,0.814066,3.68389
-16.0191,1,0.122783,4,31,0,18.6057,0.926915,0.875492,9.5748
-16.61,0.984168,0.122783,5,47,0,17.7523,0.898826,0.863303,13.1905
-17.1194,0.996966,0.122783,5,31,0,18.474,0.816829,0.955938,13.3855
-18.3357,0.996802,0.122783,4,15,0,18.6709,0.563387,0.866533,17.9561
-18.4647,0.999717,0.122783,5,31,0,19.1321,0.597649,0.970752,17.8486
-16.6205,0.995347,0.122783,4,23,0,18.7755,0.610464,0.902652,16.8298
-16.3794,0.992607,0.122783,3,15,0,17.9541,0.718208,0.942632,15.0778
-16.7115,0.991051,0.122783,4,27,0,17.857,0.729681,0.925208,6.88283
-16.8693,0.998204,0.122783,3,7,0,17.2464,0.734343,0.921585,6.0996
-16.1617,0.997972,0.122783,4,31,0,17.3847,0.48272,0.883735,13.6005
-15.867,0.99976,0.122783,3,7,0,16.2525,0.48752,0.901752,12.2401
-16.5655,0.991537,0.122783,4,15,0,17.1204,0.420797,0.910784,7.34916
-16.5059,0.999395,0.122783,4,15,0,17.3231,0.346217,0.903172,8.3639
-15.8957,0.999525,0.122783,5,31,0,16.9611,0.849765,0.913376,12.9066
-15.5607,0.997242,0.122783,4,31,0,17.1255,0.880506,0.801981,5.06729
-16.9143,0.989908,0.122783,4,15,0,17.3221,0.71641,0.56044,2.59388
-15.7917,0.999344,0.122783,4,15,0,17.2776,0.655396,0.684456,5.94363
-16.8371,0.998644,0.122783,4,15,0,17.1437,0.360376,0.729136,3.64444
-16.6613,0.986029,0.122783,3,7,0,18.037,0.371736,0.747169,7.56506
-15.856,1,0.122783,4,15,0,17.1682,0.847224,0.728708,6.7835
-15.4455,0.989286,0.122783,3,7,0,16.6733,0.846266,0.79688,4.81281
-16.4668,0.997221,0.122783,5,31,0,17.1866,0.710635,0.934598,16.8284
-17.2181,0.991083,0.122783,5,63,0,21.0696,0.24153,0.759911,5.14262
-16.6939,0.991572,0.122783,5,31,0,18.0706,0.340349,0.788036,8.74889
-16.0975,0.999946,0.122783,4,15,0,16.9672,0.368774,0.858528,6.77304
-15.6776,0.999938,0.122783,5,31,0,16.7825,0.690102,0.907514,13.4247
-15.7165,0.999978,0.122783,4,15,0,15.7386,0.67621,0.912998,13.4955
-15.816,0.997735,0.122783,4,15,0,16.0052,0.652357,0.896736,14.0056
-15.472,0.991968,0.122783,4,31,0,17.9344,0.651712,0.893575,8.86507
-15.9266,0.987781,0.122783,4,23,0,19.0912,0.732606,0.846492,4.46071
-15.3636,0.993827,0.122783,4,15,0,17.1704,0.572169,0.8535,9.2893
-16.2768,0.99231,0.122783,5,31,0,17.902,0.687328,0.938747,11.6527
-15.4908,0.989496,0.122783,4,27,0,19.072,0.722997,0.903915,10.7832
-17.4025,0.981307,0.122783,4,15,0,17.7615,0.779835,0.950458,8.65279
-16.1703,0.985748,0.122783,4,23,0,19.3019,0.715307,0.693761,6.85577
-16.0864,0.998059,0.122783,4,15,0,16.7667,0.747908,0.723395,7.46543
-15.1343,0.995332,0.122783,2,7,0,16.5258,0.737496,0.751443,5.71647
-15.5531,0.998005,0.122783,4,23,0,15.7066,0.898758,0.760187,5.15457
-16.3423,0.993457,0.122783,4,31,0,17.0577,0.444563,0.927496,11.8149
-15.4306,0.997834,0.122783,5,31,0,17.8596,0.677898,0.778239,4.122
-15.2368,0.980582,0.122783,2,7,0,16.7349,0.677052,0.739305,5.88388
-16.2929,0.980302,0.122783,4,15,0,16.6059,0.52888,0.846372,4.2639
-16.592,0.999959,0.122783,4,31,0,17.3513,0.734667,0.902865,16.8314
-16.2209,0.999827,0.122783,4,31,0,17.7987,0.441225,0.903944,7.93514
-17.7029,0.980464,0.122783,4,31,0,20.2038,0.250747,0.914323,16.4234
-17.2187,0.999773,0.122783,3,7,0,17.77,0.327369,0.909374,16.143
-19.196,0.994058,0.122783,4,31,0,21.7429,0.716225,0.927919,19.8028
-17.415,1,0.122783,4,15,0,19.4075,0.61707,0.936056,18.7804
-18.1328,0.993793,0.122783,5,63,0,19.511,0.976419,0.874665,4.533
-17.4348,0.998636,0.122783,3,7,0,18.5412,0.978658,0.866497,5.92358
-15.5053,0.999509,0.122783,4,31,0,17.5419,0.861536,0.776875,6.90133
-18.2355,0.985607,0.122783,3,11,0,20.2118,0.87695,0.414583,2.59731
-17.3935,1,0.122783,2,3,0,18.1765,0.867513,0.424252,3.16165
-16.5149,0.994359,0.122783,5,31,0,18.6156,0.961213,0.867946,8.49185
-16.3119,0.999916,0.122783,5,31,0,16.7006,0.948215,0.875635,9.54185
-15.6679,0.999938,0.122783,5,31,0,16.5505,0.479768,0.873548,10.2511
-15.8616,0.994747,0.122783,4,31,0,16.6926,0.411152,0.798243,7.44412
-16.1932,0.997001,0.122783,4,23,0,16.8368,0.933094,0.819383,4.86749
-16.3073,0.990645,0.122783,3,15,0,17.2457,0.941187,0.791709,7.83331
-15.227,0.991379,0.122783,3,15,0,17.1236,0.82356,0.822955,7.02597
-18.8389,0.989868,0.122783,4,23,0,20.2397,0.974512,0.445086,2.75143
-16.7464,0.99032,0.122783,5,31,0,20.7733,0.395824,0.897074,6.02574
-17.0547,0.990596,0.122783,5,39,0,19.2461,0.47685,0.927863,17.659
-17.5546,0.993799,0.122783,5,31,0,18.8543,0.968693,0.553893,2.99389
-18.5978,0.993663,0.122783,5,31,0,20.3762,0.971839,0.953527,16.8176
-15.9879,0.99889,0.122783,4,31,0,19.1681,0.876,0.912732,10.414
-15.4259,0.998494,0.122783,4,31,0,16.7873,0.502269,0.773649,5.89187
-15.5634,0.996997,0.122783,5,31,0,15.9158,0.895316,0.752308,4.69676
-15.9491,0.993748,0.122783,5,31,0,16.397,0.738858,0.622062,3.03506
-16.0533,0.964645,0.122783,5,31,0,17.3326,0.765389,0.894497,14.7483
-15.6727,0.998568,0.122783,5,63,0,16.6502,0.771947,0.651737,3.2771
-15.0987,0.999621,0.122783,5,31,0,16.4666,0.694549,0.829271,7.29092
-16.4052,0.991611,0.122783,4,15,0,16.6689,0.342681,0.855925,5.96108
-17.9797,0.96489,0.122783,4,15,0,19.3214,0.37061,0.877513,3.80191
-17.3028,0.997928,0.122783,4,31,0,18.8475,0.888358,0.874732,15.8131
-16.6293,0.999958,0.122783,3,7,0,17.3573,0.874938,0.896204,15.5548
-21.7414,0.992473,0.122783,5,31,0,22.7953,0.996762,0.96292,18.4696
-17.8884,0.998883,0.122783,4,15,0,22.4815,0.96137,0.926961,17.277
-18.0213,0.9983,0.122783,5,31,0,19.5111,0.359997,0.939519,18.5242
-15.735,0.999703,0.122783,4,31,0,18.586,0.591139,0.89183,7.41717
-15.6181,0.998994,0.122783,4,27,0,16.135,0.531979,0.891227,11.1096
-16.1034,0.991279,0.122783,4,15,0,16.8827,0.601176,0.906316,15.3044
-16.3546,0.993003,0.122783,4,31,0,17.8003,0.924765,0.898698,12.8884
-16.3497,0.996851,0.122783,4,15,0,16.8781,0.905619,0.864051,12.2387
-16.1407,0.996902,0.122783,4,23,0,17.9551,0.873605,0.81157,3.90864
-16.0633,0.999337,0.122783,4,31,0,16.9097,0.382566,0.846947,9.67142
-15.2909,0.998142,0.122783,4,15,0,16.4807,0.663929,0.873059,8.08614
-15.9242,0.998678,0.122783,5,31,0,16.5504,0.904984,0.633604,3.901
-17.3211,0.972364,0.122783,3,15,0,19.1856,0.876914,0.432467,3.21767
-16.9816,0.999424,0.122783,5,31,0,18.7721,0.963936,0.913275,10.956
-16.971,0.998714,0.122783,5,31,0,17.455,0.380987,0.625299,4.81959
-18.014,0.969179,0.122783,3,7,0,18.7861,0.446101,0.587912,2.58035
-17.3905,1,0.122783,5,31,0,18.6024,0.913608,0.923268,17.726
-17.4721,0.998492,0.122783,4,15,0,17.9304,0.927591,0.933732,17.5873
-15.672,0.999926,0.122783,5,31,0,17.6558,0.820065,0.890126,7.76919
-16.739,0.996523,0.122783,4,31,0,17.2694,0.952436,0.889143,12.5673
-17.5628,0.999843,0.122783,5,31,0,18.121,0.987465,0.855907,7.2276
-15.8288,0.999055,0.122783,4,31,0,18.2927,0.876783,0.628368,4.30126
-16.1244,0.996696,0.122783,3,7,0,16.194,0.881803,0.601883,4.47607
-16.5184,0.965767,0.122783,5,31,0,18.4228,0.944991,0.689781,5.70161
-16.2448,0.998908,0.122783,5,63,0,17.8298,0.869488,0.897497,14.3967
-17.0359,0.998945,0.122783,4,31,0,18.8967,0.81923,0.790335,2.80117
-17.6427,0.993359,0.122783,3,7,0,17.8906,0.811646,0.801835,2.58283
-18.5098,0.96508,0.122783,3,15,0,21.3147,0.863655,0.869325,2.71562
-18.0986,0.962134,0.122783,3,7,0,20.5325,0.847367,0.826706,2.56295
-19.0307,1,0.122783,5,31,0,20.1145,0.980622,0.956626,12.6812
-16.5736,0.99755,0.122783,4,31,0,20.124,0.864199,0.937909,11.2563
-17.4685,0.999078,0.122783,5,31,0,18.6621,0.301992,0.656788,3.68263
-17.8071,0.996865,0.122783,4,15,0,18.7139,0.233904,0.707074,4.29215
-18.7368,0.996853,0.122783,4,15,0,19.3679,0.156546,0.70504,5.77665
-15.6982,0.999116,0.122783,4,15,0,19.2056,0.656761,0.903997,8.51518
-18.7511,0.994255,0.122783,4,15,0,19.0288,0.120059,0.923239,16.3971
-19.6291,0.995977,0.122783,4,15,0,20.6656,0.0762303,0.911393,16.4531
-18.6852,0.999617,0.122783,5,31,0,21.0642,0.995785,0.761487,6.53947
-15.5132,0.998363,0.122783,5,31,0,19.734,0.805484,0.749663,3.79775
-15.8484,0.981533,0.122783,4,23,0,17.2,0.900284,0.865586,10.2438
-16.7513,0.981791,0.122783,5,31,0,18.2339,0.898779,0.719339,2.83628
-17.4654,1,0.122783,5,31,0,18.1032,0.963293,0.917339,8.01443
-16.4311,0.997346,0.122783,5,63,0,18.4726,0.564586,0.626443,2.95039
-15.8574,0.997101,0.122783,4,15,0,17.6947,0.428526,0.80409,5.03971
-15.6205,0.999812,0.122783,4,15,0,16.1108,0.452409,0.81696,5.92166
-15.5685,0.999554,0.122783,4,31,0,16.1959,0.45706,0.835686,7.18341
-15.4809,0.998048,0.122783,4,31,0,16.4941,0.540346,0.712188,4.35507
-15.7167,0.963772,0.122783,4,15,0,18.7711,0.59582,0.677989,5.43875
-16.8796,0.996757,0.122783,5,31,0,17.571,0.645832,0.559484,5.00875
-16.8597,0.989817,0.122783,4,15,0,19.7218,0.576947,0.574976,5.03289
-15.8842,0.983515,0.122783,3,7,0,17.7922,0.619635,0.63896,5.03262
-17.7777,0.992893,0.122783,4,15,0,18.1856,0.276234,0.699795,3.61313
-17.8339,0.98604,0.122783,3,7,0,18.7255,0.268999,0.681357,3.67017
-15.8517,0.995733,0.122783,4,15,0,18.649,0.394243,0.782625,5.8506
-16.3809,0.971411,0.122783,2,7,0,18.3008,0.339479,0.791688,4.89288
-15.1238,0.999749,0.122783,4,15,0,17.287,0.68173,0.805105,5.60789
-18.4322,0.932046,0.122783,5,31,0,19.6792,0.754001,0.974055,14.0707
-15.9691,0.999709,0.122783,4,15,0,19.0246,0.584147,0.921798,10.253
-15.739,0.999387,0.122783,5,31,0,17.0874,0.621457,0.904816,8.57458
-15.4844,0.999947,0.122783,3,15,0,15.8619,0.653714,0.900737,11.2815
-15.6731,0.996046,0.122783,4,31,0,16.0927,0.822752,0.901853,9.29621
-15.438,0.998932,0.122783,3,7,0,15.8607,0.811023,0.882489,10.3776
-15.2625,0.999987,0.122783,4,15,0,15.4851,0.766242,0.86812,9.31315
-16.4025,0.991506,0.122783,4,15,0,16.6723,0.835333,0.934438,10.6366
-17.3826,0.999185,0.122783,4,23,0,17.9392,0.359465,0.918341,17.2835
-17.9115,0.995976,0.122783,5,31,0,18.9016,0.632018,0.883812,18.2941
-17.1409,0.997194,0.122783,5,47,0,18.5924,0.477863,0.93538,7.43547
-15.8389,0.998183,0.122783,5,31,0,17.8622,0.416814,0.859583,9.50522
-15.9654,0.996812,0.122783,5,31,0,16.6887,0.551164,0.921254,10.8381
-16.7794,0.993296,0.122783,4,15,0,17.0586,0.661037,0.9342,7.76189
-16.753,0.999069,0.122783,3,15,0,17.2437,0.749623,0.938746,8.75165
-16.5531,0.997066,0.122783,4,31,0,18.1346,0.91855,0.769269,8.44898
-15.583,1,0.122783,4,15,0,16.7019,0.87178,0.853419,6.63661
-16.2731,0.988845,0.122783,3,15,0,16.6238,0.872369,0.805063,9.89595
-15.6544,0.999976,0.122783,4,31,0,16.7309,0.487227,0.798334,4.84141
-15.2666,0.996507,0.122783,3,15,0,16.2601,0.644194,0.794915,7.50168
-16.1203,0.999425,0.122783,5,31,0,16.7289,0.852013,0.881824,13.5082
-17.1439,0.988727,0.122783,3,7,0,17.1891,0.861491,0.865845,15.2717
-19.0961,0.986721,0.122783,4,19,0,21.3225,0.71684,0.852729,18.2286
-20.4478,0.976455,0.122783,2,3,0,20.656,0.676366,0.829378,18.4949
-16.792,0.999074,0.122783,4,15,0,21.5088,0.393583,0.93828,13.6179
-16.6594,0.999226,0.122783,5,31,0,17.7582,0.652798,0.92368,17.5354
-16.6261,0.993208,0.122783,3,15,0,17.9109,0.699197,0.945991,16.2865
-16.9777,0.992757,0.122783,3,15,0,18.3561,0.703552,0.954356,16.3012
-16.5671,0.999481,0.122783,4,23,0,17.8028,0.644702,0.947454,13.1259
-15.7155,0.999838,0.122783,4,15,0,16.8695,0.568663,0.898544,12.7817
-17.4446,0.995275,0.122783,4,15,0,17.8374,0.82722,0.956853,17.3329
-17.5628,0.99955,0.122783,4,15,0,18.0879,0.672938,0.896777,18.3704
-17.9606,0.983365,0.122783,4,15,0,20.9893,0.424191,0.944103,18.7188
-16.7187,0.999991,0.122783,5,31,0,19.1333,0.885433,0.940361,11.9315
-16.3299,0.999522,0.122783,4,15,0,17.0386,0.886077,0.86071,12.4791
-16.8851,0.99859,0.122783,4,15,0,17.1944,0.92441,0.872646,4.82957
-15.1889,0.999751,0.122783,4,23,0,17.7425,0.687259,0.779164,6.79928
-15.3238,0.999834,0.122783,4,27,0,15.4608,0.609458,0.858742,7.08233
-16.009,0.998397,0.122783,5,31,0,17.5193,0.925609,0.697436,3.76412
-16.2751,0.968818,0.122783,3,7,0,17.1338,0.924861,0.669571,5.34251
-16.0285,0.958168,0.122783,5,31,0,19.1148,0.743525,0.670819,6.11477
-17.1536,0.99062,0.122783,4,31,0,17.5227,0.924677,0.848033,3.75722
-17.517,0.996153,0.122783,2,3,0,17.5587,0.930386,0.853447,3.53947
-15.3105,0.999943,0.122783,4,15,0,17.8936,0.832234,0.844981,7.11668
-16.6137,0.996449,0.122783,4,15,0,17.836,0.394786,0.639919,3.81855
-17.5903,0.983695,0.122783,5,31,0,17.9699,0.983881,0.880994,7.27489
-19.3164,0.974355,0.122783,3,7,0,19.4846,0.984873,0.894764,4.12791
-18.7542,1,0.122783,3,7,0,19.6109,0.982268,0.905097,5.28759
-20.6887,0.988645,0.122783,5,31,0,23.497,0.70335,0.950459,19.9475
-22.8038,0.982906,0.122783,4,15,0,25.6215,0.870685,0.885247,19.9722
-20.0691,0.991868,0.122783,5,31,0,24.3107,0.608239,0.980156,18.9956
-15.2013,0.996239,0.122783,5,31,0,20.275,0.774505,0.760692,6.17227
-16.6462,0.969105,0.122783,3,7,0,16.7347,0.788291,0.828644,3.32791
-16.7555,0.998506,0.122783,5,31,0,17.7718,0.774241,0.948368,11.6468
-16.0245,0.998608,0.122783,4,31,0,18.2549,0.59139,0.899274,6.8598
-16.1346,0.998383,0.122783,4,15,0,16.3619,0.818507,0.780462,9.12459
-16.1843,0.998797,0.122783,4,31,0,18.0718,0.9349,0.886851,10.1529
-17.0171,0.996977,0.122783,4,31,0,18.2775,0.509416,0.949228,16.4066
-17.2384,0.997795,0.122783,4,31,0,19.1533,0.256517,0.917293,8.72487
-15.5277,0.990576,0.122783,4,15,0,20.314,0.776742,0.903071,11.1786
-16.4715,0.997657,0.122783,5,31,0,17.2488,0.946478,0.680338,3.39504
-17.043,0.984714,0.122783,3,7,0,17.4217,0.94059,0.650735,2.79945
-15.8,0.992403,0.122783,3,15,0,18.0789,0.907892,0.73702,4.02009
-15.8678,0.98133,0.122783,4,15,0,17.5711,0.819749,0.798831,9.18219
-16.0757,0.995815,0.122783,3,15,0,16.6467,0.876816,0.809809,9.52422
-16.3803,0.990892,0.122783,4,15,0,16.9872,0.816839,0.899977,6.01658
-15.249,1,0.122783,3,7,0,16.4185,0.802825,0.853705,7.77186
-16.981,0.977826,0.122783,3,7,0,17.1083,0.867838,0.875891,4.13258
-17.2441,0.989753,0.122783,4,19,0,19.0503,0.954981,0.665529,6.17779
-15.458,0.997833,0.122783,5,31,0,18.5566,0.6362,0.711861,3.73873
-15.0823,1,0.122783,4,15,0,15.5365,0.664448,0.794898,6.09441
-16.6545,0.986715,0.122783,4,31,0,19.7691,0.970329,0.777454,6.30981
-15.4994,0.998932,0.122783,4,31,0,19.0286,0.88282,0.721145,4.70588
-15.9495,0.986486,0.122783,4,31,0,16.7296,0.672932,0.920284,9.3707
-15.2847,0.999445,0.122783,4,15,0,16.2508,0.696595,0.880298,9.6696
-15.8472,0.995082,0.122783,5,31,0,16.6341,0.900114,0.782143,4.23693
-16.6419,0.991049,0.122783,4,31,0,20.0724,0.32129,0.85438,11.2992
-18.5975,0.998669,0.122783,4,15,0,19.0165,0.135909,0.93769,12.1008
-17.2489,0.999578,0.122783,3,7,0,18.757,0.228183,0.918431,12.7959
