# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = W11_RL_symmetric_model
# start_datetime = 2024-03-12 18:52:59 UTC
# method = sample (Default)
#   sample
#     num_samples = 2000
#     num_warmup = 2000
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.99
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 20
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/98/18p7fygn5473lcp5yfrz9s340000gn/T/RtmpLoYUAL/standata-151eb5ed7e1b7.json
# init = 2 (Default)
# random
#   seed = 123
# output
#   file = /Users/emmaolsen/Library/Mobile Documents/com~apple~CloudDocs/cognitive_science/00_MS_cogsci/2_adv_cognitive_ modelling/ACMP2_EMMA/simmodels/W11_RL_symmetric-202403121952-1-7f1046.csv
#   diagnostic_file =  (Default)
#   refresh = 1000
#   sig_figs = -1 (Default)
#   profile_file = /Users/emmaolsen/Library/Mobile Documents/com~apple~CloudDocs/cognitive_science/00_MS_cogsci/2_adv_cognitive_ modelling/ACMP2_EMMA/simmodels/W11_RL_symmetric-profile-202403121952-1-4f3340.csv
#   save_cmdstan_config = 0 (Default)
# num_threads = 2 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --O1 --warn-pedantic --name=W11_RL_symmetric_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,temperature,alpha_prior,temperature_prior,pe,value.1,value.2,theta.1,theta.2,log_lik
# Adaptation terminated
# Step size = 0.152006
# Diagonal elements of inverse mass matrix:
# 0.648707, 1.61908
-13.72,0.999423,0.152006,4,31,0,14.1934,0.911142,9.92616,0.489717,4.38553,0.0156667,-0.999886,0.998608,2.79433e-09,1,-9.81988
-13.5987,0.998795,0.152006,4,15,0,13.9401,0.894892,8.53703,0.475567,16.3662,0.0218513,-0.999782,0.997703,4.64143e-08,1,-9.827
-13.3071,0.996657,0.152006,4,23,0,14.1611,0.804514,6.26003,0.983014,14.2661,0.073509,-0.997648,0.98563,5.87285e-06,0.999994,-9.92032
-14.8203,0.948502,0.152006,2,7,0,15.1653,0.849403,3.55676,0.966396,12.3965,0.0443304,-0.999126,0.993324,0.000955095,0.999045,-10.8412
-14.7403,0.980937,0.152006,3,7,0,16.2819,0.785958,10.2665,0.0205816,14.533,0.0874302,-0.996696,0.981286,3.07015e-09,1,-11.5709
-13.6409,0.999245,0.152006,3,9,0,15.0506,0.826917,4.93908,0.886403,1.65221,0.0581202,-0.998515,0.98994,6.88327e-05,0.999931,-10.0147
-14.1758,0.992709,0.152006,4,19,0,14.7469,0.934151,14.8927,0.621355,13.477,0.00863463,-0.999965,0.999431,1.31949e-13,1,-9.72741
-14.2936,0.999694,0.152006,3,7,0,14.3165,0.937814,15.281,0.714648,1.89582,0.00770439,-0.999972,0.999521,6.00399e-14,1,-9.73854
-13.6492,0.999434,0.152006,4,31,0,14.347,0.888874,12.1519,0.793878,15.6905,0.0243929,-0.999729,0.997289,3.76002e-11,1,-9.90055
-13.4518,0.999326,0.152006,4,23,0,14.6175,0.809842,5.17318,0.365563,13.0706,0.0697052,-0.99788,0.986745,4.65564e-05,0.999953,-9.9294
-13.9456,0.997303,0.152006,3,15,0,15.0511,0.658342,3.86423,0.10654,3.09722,0.206209,-0.981873,0.929547,0.00104616,0.998954,-10.595
-14.5007,0.98209,0.152006,2,3,0,14.5587,0.626065,3.18034,0.455247,1.15074,0.240553,-0.975136,0.910049,0.00400351,0.995996,-11.0368
-13.7474,0.926773,0.152006,3,7,0,16.2293,0.761066,3.89803,0.197498,0.603314,0.107661,-0.995028,0.974276,0.000637694,0.999362,-10.1907
-13.5847,1,0.152006,2,3,0,13.7494,0.763372,4.24713,0.763115,16.6565,0.105715,-0.995204,0.974985,0.000327105,0.999673,-10.0853
-13.4765,0.999185,0.152006,2,7,0,13.6818,0.741706,4.67075,0.479415,6.57385,0.124529,-0.993378,0.967835,0.000161811,0.999838,-10.1037
-13.9968,0.988212,0.152006,2,7,0,15.2704,0.650657,4.32567,0.310931,11.2344,0.214293,-0.980397,0.925138,0.000480798,0.999519,-10.7404
-13.9386,0.998008,0.152006,3,7,0,14.199,0.662484,3.79182,0.2108,8.84132,0.201881,-0.982637,0.931862,0.00116681,0.998833,-10.5676
-14.1966,0.995269,0.152006,2,3,0,14.2313,0.638154,3.50129,0.814438,10.7537,0.227579,-0.977826,0.917651,0.00217591,0.997824,-10.7959
-13.5001,0.998679,0.152006,3,15,0,14.4758,0.735892,5.29133,0.96197,15.9591,0.129775,-0.992815,0.965725,5.23265e-05,0.999948,-10.2251
-14.1964,0.965756,0.152006,2,7,0,15.3236,0.758182,8.10816,0.285249,9.08929,0.110113,-0.994803,0.973373,2.30879e-07,1,-11.0772
-14.2874,0.994626,0.152006,2,3,0,14.5204,0.768713,8.67771,0.570635,4.29404,0.101264,-0.995592,0.976579,7.25903e-08,1,-11.1563
-13.6338,0.99977,0.152006,3,7,0,14.5022,0.779937,4.25188,0.187108,14.8558,0.092165,-0.996336,0.979718,0.000304571,0.999695,-10.0841
-13.5022,0.995715,0.152006,2,5,0,13.8912,0.76172,6.30793,0.331461,6.20289,0.107108,-0.995079,0.974478,6.72824e-06,0.999993,-10.2629
-13.6183,0.999476,0.152006,3,15,0,13.8154,0.734724,4.0941,0.0747287,1.28903,0.130839,-0.992699,0.965292,0.00048901,0.999511,-10.1678
-13.4238,0.991038,0.152006,4,31,0,14.0766,0.819039,8.04024,0.0537664,2.86177,0.0633488,-0.998242,0.988536,1.75256e-07,1,-10.0892
-14.3029,0.993343,0.152006,3,15,0,14.6808,0.762733,3.25217,0.932843,11.5839,0.106253,-0.995155,0.97479,0.00214378,0.997856,-10.5996
-13.3584,0.996234,0.152006,3,13,0,15.2989,0.826183,6.01767,0.286861,6.03765,0.0585989,-0.998491,0.989815,8.51536e-06,0.999991,-9.8587
-13.4927,0.985817,0.152006,2,7,0,14.0305,0.805593,7.86212,0.321342,10.1809,0.0727311,-0.997697,0.985861,2.67455e-07,1,-10.2056
-13.5062,0.988712,0.152006,3,7,0,14.1236,0.830789,8.93313,0.533584,18.9016,0.0556252,-0.998637,0.990588,2.89652e-08,1,-10.1465
-13.9884,1,0.152006,4,15,0,14.1762,0.930007,13.179,0.302932,3.85833,0.00974996,-0.999955,0.999318,4.0639e-12,1,-9.76366
-13.5068,0.998708,0.152006,4,31,0,14.5669,0.883291,8.04612,0.53056,13.701,0.0268708,-0.999672,0.996864,1.27725e-07,1,-9.80942
-14.6871,0.998981,0.152006,4,15,0,14.6965,0.929345,17.4204,0.861547,12.7655,0.0099344,-0.999954,0.999298,8.79702e-16,1,-9.77771
-13.6024,0.999948,0.152006,4,17,0,14.8398,0.872324,6.71026,0.531045,19.1003,0.0320709,-0.999536,0.995905,1.84651e-06,0.999998,-9.90676
-13.4436,0.997807,0.152006,3,15,0,13.8977,0.870443,7.483,0.411769,14.0118,0.0330063,-0.999509,0.995724,4.06639e-07,1,-9.80942
-13.5834,0.999078,0.152006,4,23,0,13.7011,0.894297,11.7732,0.993968,19.4313,0.0220965,-0.999777,0.997664,7.72719e-11,1,-9.80627
-13.345,0.999914,0.152006,3,15,0,13.8079,0.858066,7.60848,0.608103,3.88935,0.0394789,-0.999303,0.994397,3.3428e-07,1,-9.79431
-13.4075,0.998844,0.152006,4,31,0,13.4471,0.818158,5.53447,0.376951,13.8453,0.0639465,-0.99821,0.988372,2.24292e-05,0.999978,-9.8935
-13.9028,0.986023,0.152006,3,15,0,14.4309,0.858371,5.17059,0.968803,19.8065,0.0393129,-0.999309,0.994432,3.96912e-05,0.99996,-10.1436
-14.9075,0.977428,0.152006,3,9,0,15.5684,0.800355,11.2555,0.0226165,0.772498,0.0765388,-0.997454,0.984719,4.07511e-10,1,-11.6714
-14.3636,0.987493,0.152006,3,11,0,17.8374,0.906495,15.9603,0.606594,1.9009,0.0173334,-0.999861,0.998379,1.81195e-14,1,-10.0704
-13.4114,0.994323,0.152006,4,27,0,15.1492,0.87082,7.79987,0.62504,19.9744,0.0328178,-0.999515,0.995761,2.17734e-07,1,-9.79059
-13.4308,0.996015,0.152006,3,15,0,14.2912,0.802537,7.44635,0.584301,8.3083,0.0749425,-0.997557,0.985202,6.05954e-07,0.999999,-10.1349
-13.8605,0.994654,0.152006,3,15,0,15.2565,0.67201,3.89181,0.861599,6.3691,0.192009,-0.984312,0.937023,0.000933813,0.999066,-10.4949
-14.0781,0.987157,0.152006,2,3,0,14.1047,0.679386,3.39053,0.495397,7.482,0.184454,-0.985531,0.940861,0.00222315,0.997777,-10.5935
-13.3529,0.988501,0.152006,4,15,0,14.8552,0.798689,5.50204,0.102475,4.9024,0.0777676,-0.997374,0.984345,2.58866e-05,0.999974,-9.91287
-13.3183,0.999998,0.152006,4,23,0,13.3627,0.845046,7.16299,0.707471,3.21347,0.0468686,-0.999025,0.992738,8.45555e-07,0.999999,-9.8151
-13.3522,0.992455,0.152006,4,23,0,13.8323,0.779095,5.86669,0.059202,17.3014,0.0928351,-0.996284,0.979492,1.41336e-05,0.999986,-10.0189
-13.7943,0.986227,0.152006,3,15,0,14.6273,0.87901,6.35958,0.269148,11.0132,0.0288487,-0.999623,0.99651,3.6046e-06,0.999996,-10.0248
-14.4582,0.988435,0.152006,3,7,0,15.1186,0.773462,9.20206,0.181441,5.35383,0.0973713,-0.995919,0.977942,2.58604e-08,1,-11.3238
-13.7239,0.998315,0.152006,2,3,0,14.5699,0.800979,8.53126,0.811447,10.7607,0.0760807,-0.997484,0.984858,7.60407e-08,1,-10.4796
-13.4234,0.999478,0.152006,4,31,0,14.8843,0.876867,9.97363,0.472807,14.9061,0.0298636,-0.999597,0.996323,2.93843e-09,1,-9.81116
-13.4978,0.981206,0.152006,2,7,0,14.4451,0.891744,9.18238,0.35348,1.92724,0.0231642,-0.999755,0.997492,1.31111e-08,1,-9.76693
-13.844,0.991718,0.152006,3,15,0,15.0072,0.755551,7.21754,0.981124,2.90548,0.112369,-0.994592,0.972531,1.25922e-06,0.999999,-10.6881
-13.4459,0.99985,0.152006,3,11,0,13.9684,0.749367,5.4638,0.688979,3.52339,0.117741,-0.994071,0.97049,3.52897e-05,0.999965,-10.1569
-13.412,0.99925,0.152006,4,23,0,13.614,0.865216,7.37116,0.0169294,19.9525,0.0356735,-0.999429,0.995192,5.17037e-07,0.999999,-9.80527
-13.5196,0.999146,0.152006,4,23,0,13.7321,0.891465,8.84376,0.0259125,19.225,0.0232823,-0.999753,0.997473,2.56319e-08,1,-9.78432
-13.9335,0.992978,0.152006,4,27,0,14.5681,0.925718,13.6941,0.167036,6.42614,0.0109749,-0.999944,0.999185,1.48268e-12,1,-9.72342
-14.1901,0.996321,0.152006,2,7,0,14.359,0.937408,13.9551,0.585198,0.346923,0.00780483,-0.999971,0.999511,8.43838e-13,1,-9.79798
-14.607,0.986797,0.152006,4,15,0,15.8965,0.929153,7.93642,0.382907,18.1495,0.00998809,-0.999953,0.999292,1.38389e-07,1,-10.4564
-15.514,0.991684,0.152006,3,11,0,16.3294,0.836422,14.4255,0.504129,1.59398,0.0520835,-0.998802,0.99148,6.36776e-13,1,-11.9206
-15.5858,0.998105,0.152006,3,15,0,16.1833,0.817289,13.4125,0.995502,9.1663,0.0645381,-0.998177,0.988208,5.45302e-12,1,-12.1741
-13.7378,1,0.152006,3,7,0,15.6615,0.874627,12.0102,0.470252,17.8479,0.0309425,-0.999568,0.996121,5.3919e-11,1,-10.0998
-13.4197,0.993028,0.152006,4,23,0,14.6987,0.882049,9.06693,0.838966,5.18531,0.0274377,-0.999659,0.996764,1.71377e-08,1,-9.76167
-13.5887,0.992779,0.152006,3,15,0,14.5397,0.812567,8.53109,0.278488,14.6919,0.0677936,-0.997993,0.987293,7.05667e-08,1,-10.2987
-13.6488,0.995093,0.152006,3,15,0,14.8271,0.894303,12.2988,0.973038,11.3873,0.0220941,-0.999777,0.997665,2.73283e-11,1,-9.84937
-13.7182,0.998479,0.152006,2,3,0,13.7217,0.890802,12.6293,0.625212,4.76618,0.0235642,-0.999747,0.997427,1.44852e-11,1,-9.93009
