# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = W11_RL_symmetric_model
# start_datetime = 2024-03-12 18:52:59 UTC
# method = sample (Default)
#   sample
#     num_samples = 2000
#     num_warmup = 2000
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.99
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 20
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /var/folders/98/18p7fygn5473lcp5yfrz9s340000gn/T/RtmpLoYUAL/standata-151eb5ed7e1b7.json
# init = 2 (Default)
# random
#   seed = 123
# output
#   file = /Users/emmaolsen/Library/Mobile Documents/com~apple~CloudDocs/cognitive_science/00_MS_cogsci/2_adv_cognitive_ modelling/ACMP2_EMMA/simmodels/W11_RL_symmetric-202403121952-2-7f1046.csv
#   diagnostic_file =  (Default)
#   refresh = 1000
#   sig_figs = -1 (Default)
#   profile_file = /Users/emmaolsen/Library/Mobile Documents/com~apple~CloudDocs/cognitive_science/00_MS_cogsci/2_adv_cognitive_ modelling/ACMP2_EMMA/simmodels/W11_RL_symmetric-profile-202403121952-2-4f3340.csv
#   save_cmdstan_config = 0 (Default)
# num_threads = 2 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --O1 --warn-pedantic --name=W11_RL_symmetric_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,temperature,alpha_prior,temperature_prior,pe,value.1,value.2,theta.1,theta.2,log_lik
# Adaptation terminated
# Step size = 0.229321
# Diagonal elements of inverse mass matrix:
# 0.626041, 1.61151
-15.8557,0.9881,0.229321,3,7,0,15.9639,0.942912,6.03151,0.31486,3.53973,0.0064968,-0.99998,0.999629,6.00015e-06,0.999994,-11.3761
-14.6865,0.994948,0.229321,3,7,0,17.4467,0.936286,8.73387,0.533625,12.7535,0.00808605,-0.999969,0.999485,2.78386e-08,1,-10.4649
-14.6957,0.999162,0.229321,3,15,0,15.6496,0.950758,14.2557,0.962085,11.0878,0.00483776,-0.999989,0.999762,4.44294e-13,1,-10.0481
-13.4147,0.998166,0.229321,3,7,0,15.0635,0.874992,9.85423,0.521675,13.9285,0.0307655,-0.999573,0.996154,3.75159e-09,1,-9.81529
-14.3761,0.964663,0.229321,3,7,0,14.5298,0.866178,13.7249,0.525159,0.987751,0.0351751,-0.999444,0.995293,1.9574e-12,1,-10.6856
-14.3758,0.987142,0.229321,2,7,0,15.4711,0.94285,13.0455,0.918787,3.14038,0.00651085,-0.99998,0.999628,5.07996e-12,1,-9.97128
-13.3571,0.996454,0.229321,3,15,0,15.0374,0.819786,7.63268,0.119632,11.8864,0.0628446,-0.99827,0.988675,3.84052e-07,1,-10.0008
-13.3664,0.96616,0.229321,2,7,0,14.4586,0.857277,7.27442,0.358016,18.2566,0.03991,-0.999288,0.994304,6.45441e-07,0.999999,-9.80211
-13.3709,0.999015,0.229321,2,3,0,13.3958,0.854614,7.07147,0.546269,12.9977,0.0413808,-0.999236,0.993984,9.71023e-07,0.999999,-9.80943
-13.5013,0.995039,0.229321,3,15,0,14.288,0.879741,7.77269,0.721776,9.8826,0.0285062,-0.999632,0.996572,2.21919e-07,1,-9.81793
-13.3606,0.996118,0.229321,3,7,0,13.6819,0.863171,7.78553,0.282356,14.6775,0.0367435,-0.999395,0.994972,2.31131e-07,1,-9.78784
-14.1092,0.983048,0.229321,3,11,0,17.7313,0.934772,12.8024,0.505713,13.265,0.00847314,-0.999966,0.999447,8.45825e-12,1,-9.84377
-15.3334,0.962713,0.229321,3,7,0,15.9308,0.950971,9.07392,0.378852,2.19224,0.00479622,-0.999989,0.999765,1.37226e-08,1,-10.8729
-13.9091,0.982459,0.229321,3,15,0,15.7173,0.813099,9.59071,0.80276,16.8408,0.0674237,-0.998014,0.987398,9.09318e-09,1,-10.637
-13.641,0.952693,0.229321,3,7,0,15.5104,0.885124,11.9716,0.457715,12.2896,0.0260446,-0.999692,0.997008,5.47757e-11,1,-9.92912
-13.8296,0.988799,0.229321,3,11,0,14.156,0.852254,11.2301,0.467651,2.2272,0.042705,-0.999188,0.99369,2.86986e-10,1,-10.3559
-13.3837,0.997705,0.229321,2,7,0,13.9915,0.87458,8.72263,0.743861,14.3827,0.0309656,-0.999567,0.996116,3.48789e-08,1,-9.77083
-13.4478,0.992017,0.229321,4,15,0,13.7475,0.871971,7.56207,0.860603,8.74842,0.0322457,-0.999531,0.995872,3.46026e-07,1,-9.80777
-13.5046,0.995122,0.229321,3,11,0,14.9542,0.732413,5.14429,0.0530038,1.80723,0.132952,-0.992464,0.964424,7.00753e-05,0.99993,-10.2197
-13.4874,0.994381,0.229321,3,7,0,13.6021,0.761273,4.53894,0.772206,6.1003,0.107486,-0.995044,0.97434,0.000190149,0.99981,-10.0418
-13.8584,0.991769,0.229321,2,5,0,14.3232,0.686035,3.72101,0.608841,8.72396,0.177714,-0.986573,0.944204,0.00119218,0.998808,-10.4355
-13.3874,0.882402,0.229321,3,15,0,15.7871,0.874716,9.33249,0.06148,6.21809,0.0308995,-0.999569,0.996129,1.04927e-08,1,-9.78564
-15.9374,0.925647,0.229321,3,13,0,17.6796,0.950608,19.1,0.117575,12.0538,0.00486716,-0.999989,0.99976,2.82118e-17,1,-9.73168
-16.3019,0.994133,0.229321,2,7,0,17.0207,0.931325,19.4818,0.0220746,3.45366,0.00938793,-0.999959,0.999355,1.43901e-17,1,-9.87289
-14.8586,0.977228,0.229321,4,15,0,17.2076,0.947613,17.1022,0.767892,19.4176,0.0054738,-0.999986,0.999713,1.53442e-15,1,-9.76736
-14.9773,0.992957,0.229321,2,7,0,15.9877,0.941097,17.929,0.950701,7.85944,0.00691497,-0.999977,0.999593,3.02727e-16,1,-9.70768
-15.7083,0.981328,0.229321,3,7,0,16.0052,0.960154,18.0841,0.711237,8.56047,0.00317037,-0.999995,0.999874,2.07619e-16,1,-9.9986
-15.402,0.998986,0.229321,3,7,0,15.9703,0.897863,17.8663,0.890385,6.26468,0.0206464,-0.999805,0.997891,4.39832e-16,1,-10.6621
-14.6841,0.997993,0.229321,4,15,0,15.689,0.949422,12.7765,0.105803,19.948,0.00510315,-0.999988,0.999742,8.52807e-12,1,-10.1814
-14.2001,0.997499,0.229321,3,7,0,15.3341,0.916884,15.7154,0.0980117,11.5233,0.0137212,-0.999912,0.99886,2.7797e-14,1,-9.84404
-14.2296,0.996288,0.229321,3,7,0,14.4073,0.932816,15.4951,0.678592,19.2551,0.00898671,-0.999962,0.999396,3.99815e-14,1,-9.71399
-13.6378,1,0.229321,4,15,0,14.2273,0.903031,12.2241,0.0666268,1.93369,0.0186293,-0.99984,0.998194,3.03397e-11,1,-9.76546
-14.1439,0.991755,0.229321,3,7,0,14.2263,0.914466,15.439,0.176361,15.4147,0.0145252,-0.999902,0.998758,4.87433e-14,1,-9.85862
-14.3984,1,0.229321,3,7,0,14.4646,0.937264,16.086,0.135118,19.3991,0.00784069,-0.999971,0.999508,1.21019e-14,1,-9.71588
-14.5186,0.999695,0.229321,3,7,0,14.6531,0.926173,16.9371,0.840383,2.65585,0.0108416,-0.999945,0.9992,2.33756e-15,1,-9.79323
-14.3745,0.999531,0.229321,3,7,0,14.5767,0.918663,16.3883,0.916242,10.7676,0.0131439,-0.99992,0.998931,7.2346e-15,1,-9.86983
-15.1997,0.994068,0.229321,3,7,0,15.3463,0.931963,18.4624,0.539782,14.579,0.00921519,-0.99996,0.999373,1.09127e-16,1,-9.79598
-14.4802,0.997889,0.229321,3,9,0,15.6375,0.941149,16.0872,0.530389,8.67146,0.00690278,-0.999977,0.999594,1.18904e-14,1,-9.73758
-16.6044,0.939353,0.229321,3,7,0,16.9669,0.969655,9.34153,0.863155,2.23591,0.00183998,-0.999998,0.999944,7.82575e-09,1,-11.6878
-16.8576,0.995674,0.229321,3,15,0,17.4913,0.977022,13.1164,0.378575,11.0294,0.00105541,-0.999999,0.999976,4.10483e-12,1,-11.5727
-15.3997,0.998774,0.229321,3,7,0,17.3169,0.961282,16.398,0.202837,7.9185,0.00299361,-0.999996,0.999884,6.00124e-15,1,-10.196
-13.8083,0.986352,0.229321,4,19,0,17.502,0.836668,4.76914,0.910093,7.5897,0.0519311,-0.998809,0.991518,9.2803e-05,0.999907,-10.112
-13.3026,0.96671,0.229321,1,3,0,14.5929,0.821865,6.48196,0.259018,7.71684,0.0614501,-0.998344,0.989054,3.52767e-06,0.999996,-9.86279
-15.0617,0.911689,0.229321,3,15,0,16.6493,0.957174,15.3638,0.434354,8.87197,0.00366141,-0.999994,0.999843,4.78232e-14,1,-10.1418
-15.1888,0.994611,0.229321,3,7,0,15.8896,0.95516,11.166,0.47611,17.1764,0.00401311,-0.999992,0.99982,2.09334e-10,1,-10.6383
-16.9465,0.997729,0.229321,4,15,0,17.6952,0.977038,16.9835,0.434619,13.9233,0.00105398,-0.999999,0.999976,1.80327e-15,1,-11.0942
-20.1502,0.977527,0.229321,3,15,0,22.5526,0.98235,19.8344,0.219194,15.3116,0.000622883,-1,0.999989,5.98997e-18,1,-11.2931
-15.066,0.997051,0.229321,4,15,0,20.2531,0.92967,18.2346,0.0333235,6.98358,0.00984379,-0.999955,0.999308,1.7375e-16,1,-9.81877
-14.6877,0.998653,0.229321,3,7,0,15.1472,0.921672,17.3474,0.615248,17.342,0.0121952,-0.999931,0.999045,1.05842e-15,1,-9.89684
-14.3334,0.993359,0.229321,4,23,0,15.8885,0.67272,5.81797,0.423937,12.0663,0.191278,-0.984432,0.937399,2.9458e-05,0.999971,-11.2415
-14.8933,0.975084,0.229321,2,3,0,14.9469,0.649105,6.06516,0.39414,11.8651,0.215935,-0.980089,0.924229,2.25473e-05,0.999977,-11.8593
-14.2727,0.935911,0.229321,1,3,0,16.7579,0.619912,3.67297,0.208379,9.07011,0.247194,-0.973688,0.906044,0.00175881,0.998241,-10.9296
-14.0212,0.981614,0.229321,3,7,0,14.6803,0.653802,3.68926,0.924826,5.31115,0.210977,-0.98101,0.92696,0.00145671,0.998543,-10.6413
-13.5035,0.980508,0.229321,3,7,0,14.221,0.72988,4.87208,0.494847,16.5379,0.135282,-0.9922,0.963458,0.000117724,0.999882,-10.1883
-13.9012,0.921369,0.229321,2,5,0,14.5986,0.730225,6.55554,0.218877,1.84164,0.134964,-0.992236,0.96359,5.1556e-06,0.999995,-10.764
